NU_ANO_CENSO,CO_UF,NO_MUNICIPIO,CO_IES,NO_CURSO,CO_CURSO,QT_VG_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_VG_REMANESC,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,SG_IES
2021,41.0,Curitiba,14403,Engenharia Civil,1204001,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,83.0,23.0,60.0,0.0,34.0,26.0,10.0,7.0,5.0,1.0,0.0,57.0,5.0,5.0,0.0,0.0,16.0,33.0,12.0,21.0,0.0,11.0,14.0,2.0,4.0,2.0,0.0,0.0,21.0,2.0,1.0,0.0,0.0,9.0,7.0,1.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Engenharia De Produção,1204008,107.0,20.0,7.0,13.0,13.0,1.0,0.0,3.0,3.0,0.0,16.0,1.0,2.0,0.0,1.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,4.0,38.0,15.0,23.0,0.0,29.0,5.0,3.0,0.0,1.0,0.0,0.0,27.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Engenharia Elétrica,1305045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Engenharia Mecânica,1305046,106.0,30.0,4.0,26.0,19.0,1.0,0.0,5.0,5.0,0.0,22.0,5.0,2.0,0.0,0.0,1.0,0.0,17.0,0.0,7.0,1.0,0.0,5.0,73.0,13.0,60.0,0.0,55.0,6.0,7.0,3.0,1.0,1.0,0.0,45.0,5.0,16.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Farmácia,1322320,115.0,46.0,39.0,7.0,29.0,1.0,0.0,6.0,10.0,0.0,29.0,10.0,1.0,3.0,2.0,1.0,0.0,32.0,0.0,4.0,1.0,0.0,9.0,155.0,104.0,51.0,0.0,81.0,38.0,12.0,12.0,11.0,1.0,0.0,107.0,3.0,25.0,3.0,1.0,16.0,56.0,36.0,20.0,0.0,21.0,19.0,8.0,3.0,5.0,0.0,0.0,41.0,1.0,9.0,1.0,0.0,4.0,25.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Fisioterapia,1305047,13.0,12.0,10.0,2.0,0.0,1.0,0.0,1.0,10.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,79.0,64.0,15.0,0.0,60.0,14.0,2.0,0.0,1.0,2.0,0.0,60.0,4.0,10.0,0.0,0.0,5.0,28.0,23.0,5.0,0.0,21.0,5.0,1.0,0.0,0.0,1.0,0.0,20.0,1.0,4.0,0.0,0.0,3.0,20.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Gastronomia,1204000,112.0,22.0,9.0,13.0,15.0,1.0,0.0,1.0,5.0,0.0,15.0,1.0,1.0,0.0,5.0,0.0,0.0,15.0,0.0,3.0,1.0,0.0,3.0,53.0,24.0,29.0,0.0,38.0,7.0,1.0,1.0,6.0,0.0,0.0,28.0,4.0,13.0,1.0,0.0,7.0,17.0,9.0,8.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,2.0,60.0,1.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Gestão Comercial,1204006,104.0,13.0,3.0,10.0,5.0,5.0,0.0,2.0,1.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,0.0,1.0,30.0,13.0,17.0,0.0,17.0,8.0,2.0,3.0,0.0,0.0,0.0,18.0,0.0,6.0,2.0,0.0,4.0,15.0,7.0,8.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,2.0,37.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Gestão De Recursos Humanos,1204005,109.0,25.0,20.0,5.0,18.0,4.0,0.0,0.0,3.0,0.0,17.0,1.0,4.0,1.0,1.0,1.0,0.0,11.0,0.0,5.0,1.0,0.0,8.0,46.0,39.0,7.0,0.0,35.0,3.0,4.0,3.0,1.0,0.0,0.0,24.0,1.0,10.0,3.0,1.0,7.0,17.0,13.0,4.0,0.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,1.0,0.0,25.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Marketing,1385096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CESUMAR
